,Source,Filter,SMARTS,Filter Family ID,Head of filter family?,Filter Classification H0: p=p0 Exact Test,GSK Recommendation,Filter Recommendations from this Work,N Total,N Noisy,Fraction_Noisy,FILTER_IFI_Median,FILTER_IFI_StdDevSample,0 ≥ IFI,1 ≥ IFI > 0,2 ≥ IFI > 1,5 ≥ IFI > 2,10 ≥ IFI > 5,IFI > 10,Exact_test_no_lessthan,95% CI Lower Limit Wilson,95% CI Upper Limit Wilson,Kappa,Selectivity,Specificity
118,NIH;BMS,acyl_123_triazole,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,70,24,0.3429,1.025,1.6747,17,17,12,21,3,0,0.0001,0.2425,0.4596,9e-05,0.0072,99.998
119,PainsA,anil_di_alk_C,"c1c(ccc(c1)[N;$([NH][CX4]),$(N([CX4])[CX4])])O[CX4]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,8397,2868,0.3416,1.33,2.1608,1212,1987,2330,2201,561,106,0.0001,0.3315,0.3518,0.0105,0.8614,99.7548
120,NIH;BMS,aryl_thiocarbonyl,a-[S;X2;!R]-[C;!R](=O),Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,226,77,0.3407,1.225,2.0482,56,35,58,59,16,2,0.0001,0.282,0.4047,0.000288,0.0231,99.9934
121,PainsA,mannich_A,[#7][CX4]c1c([OH])cccc1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,5297,1802,0.3402,1.06,2.7263,1344,1240,911,1099,597,106,0.0001,0.3276,0.3531,0.00665,0.5412,99.845
122,ChEMBL,Filter92_trityl,*(c1ccccc1)(c1ccccc1)(c1ccccc1),23,Y,Potentially useful,Proceed With Caution,Use Filter with caution,838,283,0.3377,1.26,2.6668,166,163,226,229,43,11,0.0001,0.3065,0.3704,0.00105,0.085,99.9754
124,Lilly,thiocarbonyl_aromatic,[SD1]=c,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,5575,1868,0.3351,1.22,1.7093,965,1035,1707,1612,239,17,0.0001,0.3228,0.3476,0.00683,0.561,99.8356
125,PainsB,pyrrole_A,"n1(c2[c,n]cccc2)c([CX4])c[cH]c1[CX4]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1928,644,0.334,1.295,2.0768,458,339,487,509,119,16,0.0001,0.3133,0.3554,0.00237,0.1934,99.943
126,Lilly,scf3,[SD2]-C(-F)(-F)-F,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,186,62,0.3333,1.105,3.2681,37,43,44,37,19,6,0.0001,0.2696,0.4038,0.000229,0.0186,99.9945
127,ChEMBL,Filter87_crowns,"[N,O,S]-@[#6!$(*(~@*)(~@*)~@*)]@[#6!$(*(~@*)(~@*)~@*)]-@[N,O,S]-@[#6!$(*(~@*)(~@*)~@*)]@[#6!$(*(~@*)(~@*)~@*)]-@[O,N]-@[#6!$(*(~@*)(~@*)~@*)]@[#6!$(*(~@*)(~@*)~@*)]-@[N,O,S]-@C",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,21,7,0.3333,1.1,3.6291,3,4,7,2,3,2,0.0262,0.1719,0.5463,2.58e-05,0.0021,99.9994
128,PainsB,imine_one_fives,"[#6]1[#6](=[O,N,S;!R])[#6](=O)[#7,#8,#16][#6,#7,#8,#16]=,:1",12,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1809,599,0.3311,1.12,2.9089,472,333,405,394,153,52,0.0001,0.3098,0.3531,0.00219,0.1799,99.9463
129,NIH;BMS,linear_polycyclic_aromatic_I,"[$(a12aaaaa1aa3a(aa(aaaa4)a4a3)a2),$(a12aaaaa1aa3a(aaa4a3aaaa4)a2),$(a12aaaaa1a(aa5)a3a(aaa4a3a5aaa4)a2)]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,82,27,0.3293,1.03,4.5714,25,15,15,12,11,4,0.0001,0.2372,0.4366,9.88e-05,0.0081,99.9976
132,NIH,thioamide,[#6]C([#7H2])=S,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,367,117,0.3188,1.52,1.4865,42,78,130,112,4,1,0.0001,0.2732,0.3681,0.000419,0.0351,99.9889
133,Lilly,thiourea,[NR0;!$(*=*)]-C(=S)-[NR0;!$(*=*)],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,4590,1447,0.3153,1.14,1.852,877,998,1268,1178,249,20,0.0001,0.302,0.3288,0.00509,0.4346,99.8606
134,ChEMBL,Filter60_Acyclic_N-S,N!@[SX2],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,96,30,0.3125,1.29,2.1111,14,26,26,25,3,2,0.0001,0.2285,0.4109,0.000106,0.009,99.9971
135,Lilly,benzocyclopentenone,c12ccccc1C=CC2=O,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,160,49,0.3063,1.13,1.7321,30,40,41,43,5,1,0.0001,0.2401,0.3815,0.000171,0.0147,99.9951
136,ChEMBL,Filter86_cyanamide,N#C[#7!$(N(C#N)=C(N)NC)],16,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1322,399,0.3018,0.77,3.9682,434,290,199,257,75,67,0.0001,0.2777,0.3271,0.00137,0.1198,99.9591
138,NIH,aliphatic_chain_6,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],6,Y,Potentially useful,Proceed With Caution,Use Filter with caution,7456,2225,0.2984,1.08,2.8645,1910,1608,1713,1492,514,219,0.0001,0.2881,0.3089,0.00748,0.6682,99.768
139,NIH;BMS,anhydride,"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,106,31,0.2925,0.925,2.1311,37,16,22,21,10,0,0.0001,0.2143,0.3851,0.000104,0.0093,99.9967
143,PainsB,keto_keto_beta_A,c1cccc2C(=O)[CX4]C(=O)c12,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,366,102,0.2787,1.035,1.9867,97,82,85,84,14,4,0.0001,0.2352,0.3267,0.00033,0.0306,99.9883
144,NIH;ChEMBL,unacceptable_atoms1;unacceptable_atoms,[!#6;!#7;!#8;!#16;!#1;!#3;!#9;!#11;!#12;!#15;!#17;!#19;!#20;!#30;!#35],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,4891,1362,0.2785,0.98,2.7047,1314,1148,1067,972,276,114,0.0001,0.2661,0.2912,0.00435,0.4091,99.8435
146,PainsB,ene_five_het_B,C=C1SC=NC1=O,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,217,60,0.2765,0.9,1.7591,60,52,45,52,6,2,0.0001,0.2213,0.3395,0.000193,0.018,99.993
147,ChEMBL,high_halogen_content_(>3),"[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,47000,12985,0.2763,0.95,2.7605,13156,11037,9822,8987,2897,1101,0.0001,0.2723,0.2803,0.0377,3.8999,98.4913
151,GSK_CTC,CTC_Halogenated_benzimidazole,[#6]n1c(Br)nc2cc(Cl)c(Cl)cc12,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,37,10,0.2703,0.88,3.2209,10,12,5,8,1,1,0.032,0.154,0.4298,3.15e-05,0.003,99.9988
152,PainsB,thiophene_hydroxy,[OH]c1cscc1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,63,17,0.2698,1.03,1.6582,21,9,16,14,3,0,0.0041,0.1758,0.3903,5.34e-05,0.0051,99.998
153,NIH;BMS,misc_4_basic_N;gte_4_basic_N,"[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)].[N;!$(N(=[N,O,S,C]));!$(N(S(=O)(=O)));!$(N(C(F)(F)(F)));!$(N(C#N));!$(N(C(=O)));!$(N(C(=S)));!$(N(C(=N)));!$(N(#C));!$(N-c)]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,258,69,0.2674,0.56,3.4534,100,47,42,45,12,12,0.0001,0.2171,0.3246,0.000215,0.0207,99.9916
154,PainsB,thiophene_amino_Ab,"s1c([NH]C(=O)C)c(C(=O)O)c([$(c2ccccc2),$(c2sccc2)])[c;$([cH]),$(c[CH2]),$(c-cc)]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,259,68,0.2625,1.15,1.5941,50,54,87,61,6,1,0.0001,0.2127,0.3193,0.000208,0.0204,99.9915
155,PainsB,anil_no_alk,"[NH2]c1[cH][cH]c([O,N,CH2])[cH][cH]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1361,356,0.2616,1.1,2.0012,258,380,367,302,45,9,0.0001,0.2389,0.2856,0.00108,0.1069,99.9554
156,NIH;BMS,thioester_NIH_BMS,"[S;!R;H0]C(=[S,O;!R])([!O;!S;!N])",31,Y,Potentially useful,Proceed With Caution,Use Filter with caution,555,145,0.2613,1.08,1.494,121,130,159,126,19,0,0.0001,0.2264,0.2994,0.000441,0.0435,99.9818
157,NIH;BMS,aldehyde,"[C,c][C;H1](=O)",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,46,12,0.2609,1.145,5.1351,20,1,13,6,3,3,0.0235,0.156,0.4026,3.65e-05,0.0036,99.9985
158,NIH,polyazophenanthrene,"c12:[c,n]:[c,n]:[c,n]:[c,n]:c1:[c,n]:[c,n]:c3:[c,n]:[c,n]:[c,n]:[c,n]:c23",24,Y,Potentially useful,Proceed With Caution,Use Filter with caution,944,246,0.2606,1.005,2.5157,278,194,226,173,61,12,0.0001,0.2336,0.2895,0.000746,0.0739,99.969
159,GSK_CTC,CTC_o-nitrosulfur,[#6]Sc1ccccc1N(~[OD1])~[OD1],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1307,338,0.2586,1.02,2.8999,353,296,320,207,97,34,0.0001,0.2356,0.283,0.00102,0.1015,99.957
160,ChEMBL,"acyclic_N-,=N_and_not_N_bound_to_carbonyl_or_sulfone","[N;!$(N-[C,S]=*)]-,=;!@[N;!$(N-[C,S]=*)]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,5602,1439,0.2569,0.68,2.1429,1665,1239,1259,1113,260,66,0.0001,0.2456,0.2685,0.00426,0.4322,99.8153
161,Lilly,dicyanomethylene,[ND1]#C-C-C#N,39,Y,Potentially useful,Proceed With Caution,Use Filter with caution,149,38,0.255,0.56,4.2827,54,37,20,13,13,12,0.0001,0.1918,0.3306,0.000113,0.0114,99.9951
163,ZINC15,ketone-sp2-sp2_named-functional-group,[CX3]C(=O)[CX3],34,Y,Potentially useful,Proceed With Caution,Use Filter with caution,349,89,0.255,0.71,4.3119,115,72,73,40,24,25,0.0001,0.2121,0.3032,0.000265,0.0267,99.9885
164,PainsA,anil_di_alk_A,"[CH2]N([CH2])c1c[c;$([cH]),$(c[CH2]),$(cO[CH2][CH2])]c(N)[cH]c1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,17523,4466,0.2549,0.94,1.9506,4670,4278,4109,3574,769,123,0.0001,0.2485,0.2614,0.0128,1.3413,99.4209
165,ChEMBL,poly_sub_atomatic,*!@c1c(!@*)c(!@*)c(!@*)c(!@*)c1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,2487,631,0.2537,0.67,3.9166,773,587,496,377,123,131,0.0001,0.237,0.2712,0.00186,0.1895,99.9177
166,NIH;BMS,linear_polycyclic_aromatic_II,"[$(a12aaaa4a1a3a(aaaa3aa4)aa2),$(a12aaaaa1a3a(aaa4a3aaaa4)aa2),$(a1(a(aaaa4)a4a3a2aaaa3)a2aaaa1)]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,52,13,0.25,0.65,3.142,19,8,12,7,4,2,0.0257,0.1523,0.3821,3.79e-05,0.0039,99.9983
170,Lilly,8_aminoquinoline,[nD2H0]1c2c(-[ND2H])cccc2ccc1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1633,402,0.2462,0.7,2.7388,485,421,325,234,123,45,0.0001,0.2259,0.2676,0.00115,0.1207,99.9454
171,Lilly,ccl3,Cl-C(-Cl)-Cl,17,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1522,374,0.2457,0.69,2.1977,445,372,331,294,57,23,0.0001,0.2248,0.268,0.00107,0.1123,99.9491
172,ZINC15,vinyl-bromide_named-functional-group,"[CX3]=,~[CX3]Br",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,282,69,0.2447,0.58,2.2419,87,76,50,48,16,5,0.0001,0.1982,0.2981,0.000196,0.0207,99.9906
173,Lilly,thiomethyl_ketone,"S-[CD2]-C(=[O,S,N])[#6]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,17305,4218,0.2437,0.99,1.6963,4798,4021,4268,3607,546,65,0.0001,0.2374,0.2502,0.0115,1.2668,99.4195
174,GSK_CTC,CTC_Pyridinylpropene,[#6][C;!H0]=[C;!H0]c1ccncc1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,648,156,0.2407,0.64,1.9023,227,153,112,128,23,5,0.0001,0.2094,0.2751,0.000436,0.0469,99.9782
175,PainsA,imine_one_A,"[#6][#6](=[O,N,S;!R])[#6](=[O,N,S;!R])[$([#6]),$(S(=O)=O)]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1405,338,0.2406,0.58,2.581,527,293,247,257,52,29,0.0001,0.2189,0.2636,0.000941,0.1015,99.9527
176,NIH;BMS,benzidine_like,c([N;!+])1ccc(c2ccc([N;!+])cc2)cc1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,250,60,0.24,0.625,2.3393,79,59,52,45,11,4,0.0001,0.1912,0.2966,0.000167,0.018,99.9916
177,NIH;BMS,betalactam_EWG,"C1(=O)~[#6]~[#6]N1([$(S(=O)(=O)[C,c,O&D2]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)[C,c,O&D2])])",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,50,12,0.24,0.54,1.0839,14,15,9,12,0,0,0.0451,0.143,0.3741,3.34e-05,0.0036,99.9983
178,NIH,perhalo_phenyl,"c1c([F,Br,Cl,I])c([F,Br,Cl,I])c([F,Br,Cl,I])c([F,Br,Cl,I])c1([F,Br,Cl,I])",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,296,71,0.2399,1.07,2.8844,69,70,86,43,19,9,0.0001,0.1948,0.2916,0.000198,0.0213,99.99
179,ChEMBL,Filter39_imine,C[CR0]=[NR0][*!O],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,3411,816,0.2392,0.69,2.1802,1014,757,824,653,119,44,0.0001,0.2252,0.2538,0.00225,0.2451,99.8849
180,Lilly,vinyl_thioether,[SR0D2]-[CR0]=[CR0],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,180,43,0.2389,0.895,1.6239,52,39,46,38,4,1,0.0001,0.1825,0.3062,0.000119,0.0129,99.9939
181,NIH,misc_8_CF2_or_CH2,"[CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0][CH2,$(C(F)F);R0]",19,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1509,359,0.2379,0.61,2.7031,412,366,372,242,77,40,0.0001,0.2171,0.26,0.000987,0.1078,99.949
182,PainsB,dyes5A,"cc[n,N;$(*[CH2,CH3])][#6]-,:[#6]=,:[#6]-[#6][#6]-,:[#7]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,572,136,0.2378,0.65,2.4038,213,107,116,91,36,9,0.0001,0.2047,0.2743,0.000374,0.0408,99.9807
184,NIH;BMS,halo_acrylate,"[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(C-I)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])",26,Y,Potentially useful,Proceed With Caution,Use Filter with caution,840,196,0.2333,0.54,2.8732,347,180,117,119,48,29,0.0001,0.206,0.2631,0.000527,0.0589,99.9714
185,ChEMBL,thioester_ChEMBL_3,C-C(=O)[SD2],9,Y,Potentially useful,Proceed With Caution,Use Filter with caution,4340,1009,0.2325,0.595,2.2751,1692,773,866,708,239,62,0.0001,0.2202,0.2453,0.00268,0.303,99.8523
189,PainsB,hzone_anil_di_alk,"N([C;H2,H3])([C;H2,H3])c1[cH][cH]c([cH][cH]1)[CH]=NN[$(C(=O)[CH2]Scn),$(C(=O)[CH2]aan),$(C(=O)cc[OH]),$(cn),$([CH2][CH][OH])]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,56,13,0.2321,1.05,1.1938,10,17,16,13,0,0,0.047,0.141,0.3577,3.48e-05,0.0039,99.9981
195,NIH;BMS,2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1092,247,0.2262,0.63,2.1755,397,223,225,192,40,15,0.0001,0.2024,0.2519,0.000638,0.0742,99.9625
198,Lilly,michael_demerited,"[OD1]=[$(C);$(C[#6,#7,S,O]);!$(C[O;D1])]C=[$(C);$([!D3])]",2,Y,Potentially useful,Proceed With Caution,Use Filter with caution,50157,11254,0.2244,0.6,2.21,17662,11795,9446,8297,2366,591,0.0001,0.2207,0.228,0.0259,3.38,98.2744
199,Lilly,phenolic_ester_or_carbamate,[OD1]=C(-*)-[OD2]-a,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,8516,1900,0.2231,0.71,1.8558,2546,2177,1893,1556,279,65,0.0001,0.2144,0.2321,0.00474,0.5706,99.7065
201,Lilly,isodithiocarbamate,S-C(=N)-S,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,207,46,0.2222,0.54,2.3953,90,41,30,33,9,4,0.0003,0.1709,0.2836,0.000116,0.0138,99.9929
205,Lilly,lucifer_yellow,O=C1NC(=O)c2cccc3cccc1c23,28,Y,Potentially useful,Proceed With Caution,Use Filter with caution,822,182,0.2214,0.63,4.5161,301,192,147,103,39,40,0.0001,0.1944,0.2511,0.000457,0.0547,99.9716
206,ChEMBL,Filter12_nitroso,"[*,#1]~[NX2]~[OX1]",40,Y,Potentially useful,Proceed With Caution,Use Filter with caution,146,32,0.2192,0.775,2.9267,32,42,40,20,8,4,0.0034,0.1597,0.293,7.93e-05,0.0096,99.9949
208,ChEMBL,Filter44_michael_acceptor2,"[#6,#1,OH0][C!$(C1(=O)C=CC(=O)C=C1)](=O)C=[C!$(C[Nv3X3,OH])]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,5974,1304,0.2183,0.6,2.6787,2110,1424,1136,886,281,137,0.0001,0.208,0.2289,0.00317,0.3916,99.7929
209,GSK_CTC,CTC_Phenolbenzylamine,"[$([NH]([c,CX4])[c,CX4]),$([NH2][c,CX4])][C;!H0]c1:a:a:a:a:c1[#8]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,8032,1747,0.2175,0.56,2.3833,3411,1607,1267,1199,419,129,0.0001,0.2086,0.2267,0.00421,0.5247,99.7212
210,Lilly,6_membered_aromatic_sulfur,s1aaaaa1,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1012,219,0.2164,0.64,1.6088,322,250,221,189,26,4,0.0001,0.1921,0.2428,0.000532,0.0658,99.9648
212,Lilly,metanitro,[OD1]=N(=O)-c:a:c-N(=O)=O,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1219,263,0.2158,0.63,2.1378,397,290,269,198,50,15,0.0001,0.1936,0.2397,0.000636,0.079,99.9576
213,Lilly,isothioamide_cyclicS,[SR]-C=N,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,6645,1430,0.2152,0.63,2.0045,2351,1512,1352,1104,266,60,0.0001,0.2055,0.2252,0.0034,0.4295,99.7687
215,ZINC15,ester-sp2-sp3_named-functional-group,[CX3]C(=O)O[CX4],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,8275,1764,0.2132,0.6,1.9435,2796,1959,1756,1404,288,72,0.0001,0.2045,0.2221,0.00412,0.5298,99.7112
218,ChEMBL,Filter18_oxime_ester,"[!#7,#1]C=NO[C,S,P](=O)*",44,Y,Potentially useful,Proceed With Caution,Use Filter with caution,85,18,0.2118,0.58,3.607,32,18,17,5,7,6,0.0438,0.1384,0.3101,4.24e-05,0.0054,99.997
219,ChEMBL,multiple_aromatic_rings_ChEMBL_1,"[!#1]-,:1-:a2a(-:[!#1]:3:a1aaaa3)aaaa2",4,Y,Potentially useful,Proceed With Caution,Use Filter with caution,12752,2693,0.2112,0.66,2.1984,4827,2788,2444,2046,504,143,0.0001,0.2042,0.2184,0.00614,0.8088,99.5538
221,NIH,michael_acceptor_misc,"O=C1[O,N]C~[N,C]C1=[C,N]",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1860,390,0.2097,0.585,2.067,656,417,397,296,76,18,0.0001,0.1918,0.2288,0.000901,0.1171,99.9348
222,ChEMBL,Filter64_halo_ketone_sulfone,"[#6][C,S](=[O,S])C[F,Cl,Br,I]",27,Y,Potentially useful,Proceed With Caution,Use Filter with caution,911,186,0.2042,0.6,2.4989,290,254,181,131,31,24,0.0001,0.1793,0.2316,0.000412,0.0559,99.9678
224,NIH,benzhydrol,[OH1]-C(-c1ccccc1)-c2ccccc2,Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,1328,269,0.2026,0.58,1.7413,435,351,273,226,37,6,0.0001,0.1818,0.225,0.000588,0.0808,99.953
225,PainsA,indol_3yl_alk,"[n;$([nH]),$(n[CH2])]1(c(c(c4[cH]cccc14)[CX4!H0])[$([CH2]),$(C=[O,N,S]),$(c[o,n,s]),$([C!H0]N),$([CH]([CH2])[NH][CH2]),$([CH]([CH2])[CH2][NH][CH2])])",Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,5693,1146,0.2013,0.65,1.7114,1794,1484,1269,949,167,30,0.0001,0.1911,0.2119,0.00245,0.3442,99.7983
226,ChEMBL,carbamate_include_di-substitued_N,OC(=O)-!@[NX3],Unique,Y,Potentially useful,Proceed With Caution,Use Filter with caution,29498,5926,0.2009,0.57,1.7654,10646,6798,6128,4873,889,164,0.0001,0.1964,0.2055,0.012,1.7798,98.9545
227,ZINC15,imines_weak-electrophile,"C=[N&R0]-,:*",3,Y,Potentially useful,Proceed With Caution,Use Filter with caution,26300,5282,0.2008,0.57,2.0921,9312,6279,5427,4135,920,227,0.0001,0.196,0.2057,0.0108,1.5864,99.0677
